,id,order_number,question,label_1,label_2,label_predict
0,1,00000420171031094446,你好 SAP系统密码忘记，被锁，请帮忙解锁 谢谢  工号 34000004@ah ,,,工号权限/密码
1,2,00000620171012082050,请 问：这个工程17AH017664 宿州市分公司泗县ODN第3批次黄圩曹场等光缆优化光网项目 立项管理员和主项管理员不一样，现在想把立项管理员改成和主项管理员一致，,,,固定资产支撑
2,3,00001220171013122621,18956592855，麻烦把合肥终端补贴_购机送1000元话费（VC充值）_协议期24个月_201709 这个规则生效日期改成2017.11.1，受理错了,,,缴费未到账(第三方平台问题)
3,4,00003720170930164216,业务单卡单，一直在竣工中，申请报竣。   用户前台等候，请尽快处理,,,订单卡单
4,5,00004420171009142329,17AH007937001_7 本工程需删除删除验收单号，工程编号保留，烦请专家处理，谢谢！,,,订单删单/撤单
5,6,00004420171023161139,17AH017416001 设计委托订单附件不能生成，烦请专家看一下，谢谢！,,,工程类项目支撑
6,7,00004420171025152621,17AH017822001 17AH018678001 17AH017820001 17AH017818001 17AH017817001 17AH018679001 17AH018923001  17AH017827001  17AH018927001  17AH018925001 不能生成设计委托订单附件，烦请专家处理，谢谢！,,,工程类项目支撑
7,8,00004420171027154954,BLL/AHHF/201710/05482 目前状态一直是发送中，烦请专家看一下，谢谢！,,,订单卡单
8,9,00005120170930163059,17AH005255001 麻烦帮看下该项目的决算转固单是不是正在归档,,,固定资产支撑
9,10,00005120171019164013,提交转固或者预转固系统提示“当前有财务在操作月结或其他用户锁定了这个项目，请稍后再操作”,,,固定资产支撑
10,11,00005120171026130842,17AH019135001、17AH019136001生成设计采购订单附件报错，麻烦处理下,,,受理报错
11,12,00006420171016105313,17AH001645001   麻烦退回交资表,,,工程类项目支撑
12,13,00006420171016112512,麻烦再次退回17AH001645001 交资表,,,工程类项目支撑
13,14,00006420171016142747,17AH001645001    麻烦退回交资表 ,,,工程类项目支撑
14,15,00006420171020171607,工程结算审计选不到服务单位？ ,,,工程类项目支撑
15,16,00006420171027150421,删除工单 ,,,订单删单/撤单
16,17,00006620171013093035,使用运维项目预算编号5万元172MAHWH0017—006发起采购了200台三合一设备需求单XWZ/AHWF/201709/00872金额38462元和70台天翼网关需求单XWZ/AHWF/201710/00074金额11550元，70台天翼网关收货入库实占预算金额只有8005.13元，但在三合一设备收货入库时提示预算不足，能否将虚拟占用的那部分预算释放出来，否则无法进行三合一设备收货入库操作。 ,,,串码释放
17,18,00009920171018095740,填写会议费报账单时，无法选择或者填写日期，换了360和ie浏览器都不行。,,,财辅报账支撑
18,19,00010120171018101339,工程项目已关闭，为什在我的项目中还看到,,,固定资产支撑
19,20,00010120171018155218,网建平台工程拆分17AH010964001_23、24、25请帮忙删去,,,工程类项目支撑
20,21,00013220171027090629,终验批复，正文拟文获取文件失败。,,,受理报错
21,22,00013220171027152312,设计批复报错,,,受理报错
22,23,00017120171026101817,订单号：73223110 用户办理修改IPTV分组 没有走外线施工，麻烦查下怎么回事？,,,IPTV退单、删单
23,24,00019820171013164740,全国集中MSS外部门户系统，注册供应商信息第二步填写信息后，点击下一步无反应，请支撑,,,财辅报账支撑
24,25,00021920171010100323,99039599 麻烦重置服务质量系统的登录密码，并同时配置系统管理-组织员工管理的菜单权限，谢谢,,,工号权限/密码
25,26,00022920171020084633,您好，综合审批平台会议费报账单发起失败,,,受理报错
26,27,00029220171030143829,你好，由于公司分管领导调动，OA中MSS－ICT中流程一直不能选择到新分管领导，请给予支撑解决，谢谢 ,,,订单卡单
27,28,00029720171023105424,宿松分公司许岭营业部主任黄兵申请OA工号，权限变更申请单系统已经归档，但依然看不到工号，请派单省公司MSS人员处理。,,,工号权限/密码
28,29,00030420171019152014,17AHSZSJWT000621\17AHSZSJWT000622两个设计委托无法生成采购订单附件，请处理。 谢谢 ,,,采购支撑
29,30,00037020171030091428,请问顾问：物资需求单采购的设备收货后未做直接一次领料出库，现在采购时所占用的预算成本能否释放（原先物资需求单界面上有未领料释放预算的处理方式，现在没有了）,,,串码释放
30,31,00045320171020161528,18056233601号码在办理销户时，提示存在超级无绳产品，无法销户。请协助处理。,,,拆机/销户系统校验不通过
31,32,00051920171020162947,手机连锁新开网点：五星电器万达店，工号：L7481008，姓名：马欣。 按正常流程需走翼支撑线上网点开关店流程，提交时选择“渠道经理直线经理”时无选择项，无法提交到下一流程。市业管已将此工号开通我要开店权限，并将工号L7481008与主要负责人工号000446关联在同一组织内，截图已上传，请省公司协查处理。,,,工号权限/密码
32,33,00054020170914094207,L7516923这个工号的小前台，CRM，4G系统登陆后，缴费，换卡等不行，具体见附件，麻烦处理下，谢谢,,,工号权限/密码
33,34,00059320171011153639,10000号运营系统 密码初始化0000 工号000593  密码初始化,,,工号权限/密码
34,35,00068220171023154313,请问下提出采购需求人员到了新部门，原订单怎么处理？,,,采购支撑
35,36,00070020171016150328,滁州接入中心曹兵工号000700，OA发起IT服务管理系统中组织变更流程提交时，无法选择后续环节处理人,,,工号权限/密码
36,37,01000320171020094049,在提交维修费报账单是，点击打印手签格式时，提示：没有需要打印的报账单。,,,财辅报账支撑
37,38,01001220171016111817,活动预算立项后，无法提交也无法删除。,,,订单删单/撤单
38,39,01001620171017103045,17AH006135001 ，17AH005727001  请把这2个工程的设计订单中是否审计改为是，谢谢,,,工程类项目支撑
39,40,01001620171030091944,17AH004797001 请修改设计委托订单送审计标识改为“是” 采购订单AHDD201703310052,,,采购支撑
40,41,01006820171027093501,17AH001765、17AH007674、17AH007671、17AH007677、17AH007676，这5个项目我在网发平台已关联了，用的是鸿宇的左领工号，APP105930，但是登录后只能看到17AH001765这一个项目，其他项目查看不到，请帮助解决，谢谢！,,,工号权限/密码
41,42,01006920171023095022,在县公司动态评价指标中“2016年12月存量拍照用户收入”是怎么定义的？年中是否可以调整？,,,人像采集报错
42,43,01007320171017110257,申请网络建设管理平台权限，工号是010073，请帮忙加一下,,,工号权限/密码
43,44,01007320171019164449,工程编码：17AH000784001 ，在提交换转固时报错，请帮忙支撑一下,,,受理报错
44,45,01007820171011151023,运维项目编号：151MAHMA0008关闭不了，提示错误信息：项目存在未完成的在途单据，不能关闭项目，请先处理在途单据，再执行项目关闭（详细见附件截图）。提示单据是一个合同，请教下怎么处理。,,,订单卡单
